customer_id,customer_name,email_id
1,Debra Kelly,sony.shrestha@estudiantat.upc.edu
2,Nicholas Cardenas,sony.sth8@gmail.com
3,Barbara Holder,sony.shrestha@estudiantat.upc.edu
4,Jermaine Johnson,sony.shrestha@estudiantat.upc.edu
5,Joyce Austin MD,sony.sth8@gmail.com
6,Xavier Johnson,sony.shrestha@estudiantat.upc.edu
7,Timothy Gray,sony.sth8@gmail.com
8,Heidi Bean,sony.sth8@gmail.com
9,Ronald Taylor,sony.shrestha@estudiantat.upc.edu
10,Kayla Cruz,sony.sth8@gmail.com
11,John Morris,sony.shrestha@estudiantat.upc.edu
12,Eric Liu,sony.sth8@gmail.com
13,William Santiago,sony.sth8@gmail.com
14,Eric Jones,sony.shrestha@estudiantat.upc.edu
15,Kevin Monroe,sony.shrestha@estudiantat.upc.edu
16,Douglas Cabrera,sony.sth8@gmail.com
17,Sarah Lewis,sony.shrestha@estudiantat.upc.edu
18,Erika Collins,sony.shrestha@estudiantat.upc.edu
19,William Cardenas,sony.sth8@gmail.com
20,Tina Brewer,sony.shrestha@estudiantat.upc.edu
21,Jeremy White,sony.sth8@gmail.com
22,Heather Flynn,sony.shrestha@estudiantat.upc.edu
23,Stephanie Allen,sony.sth8@gmail.com
24,Katie Smith,sony.shrestha@estudiantat.upc.edu
25,Megan Craig,sony.sth8@gmail.com
26,Christopher Shields,sony.sth8@gmail.com
27,Mary Hubbard,sony.shrestha@estudiantat.upc.edu
28,Hailey Petersen,sony.sth8@gmail.com
29,Richard Donovan,sony.sth8@gmail.com
30,Manuel Armstrong,sony.shrestha@estudiantat.upc.edu
31,Ryan Howell,sony.shrestha@estudiantat.upc.edu
32,Audrey Evans,sony.shrestha@estudiantat.upc.edu
33,Brian Cervantes,sony.shrestha@estudiantat.upc.edu
34,Jamie Smith,sony.shrestha@estudiantat.upc.edu
35,Curtis Mendez,sony.shrestha@estudiantat.upc.edu
36,Matthew Bond,sony.sth8@gmail.com
37,Patricia Gould,sony.shrestha@estudiantat.upc.edu
38,Christopher Hill,sony.sth8@gmail.com
39,Jeremy Mejia,sony.sth8@gmail.com
40,Christopher Wagner,sony.sth8@gmail.com
41,Ebony Rubio,sony.shrestha@estudiantat.upc.edu
42,Michelle Long,sony.sth8@gmail.com
43,Julia Lewis,sony.shrestha@estudiantat.upc.edu
44,Brenda Brewer,sony.shrestha@estudiantat.upc.edu
45,Jonathan Wright,sony.sth8@gmail.com
46,Philip Huerta,sony.shrestha@estudiantat.upc.edu
47,Angela Williamson,sony.sth8@gmail.com
48,Katherine Garza,sony.shrestha@estudiantat.upc.edu
49,Stacie Brock,sony.shrestha@estudiantat.upc.edu
50,Roger Rivera,sony.shrestha@estudiantat.upc.edu
51,Carrie Mosley,sony.sth8@gmail.com
52,Cody Smith,sony.sth8@gmail.com
53,Nicole Simpson,sony.shrestha@estudiantat.upc.edu
54,Cathy Miranda,sony.shrestha@estudiantat.upc.edu
55,Raymond Vargas,sony.sth8@gmail.com
56,Nicholas Burns PhD,sony.sth8@gmail.com
57,Deborah Church,sony.shrestha@estudiantat.upc.edu
58,Daniel Sutton,sony.shrestha@estudiantat.upc.edu
59,Meghan Bridges,sony.shrestha@estudiantat.upc.edu
60,Taylor Herrera,sony.shrestha@estudiantat.upc.edu
61,Robert Villa,sony.sth8@gmail.com
62,Maria Wilson,sony.sth8@gmail.com
63,Christian Turner,sony.sth8@gmail.com
64,Miss Martha Smith,sony.shrestha@estudiantat.upc.edu
65,Robert Rodriguez,sony.shrestha@estudiantat.upc.edu
66,Scott Taylor,sony.shrestha@estudiantat.upc.edu
67,Leon Santos,sony.shrestha@estudiantat.upc.edu
68,Luke Baldwin,sony.shrestha@estudiantat.upc.edu
69,Carla Taylor MD,sony.sth8@gmail.com
70,Scott Estrada,sony.sth8@gmail.com
71,Teresa Bailey,sony.sth8@gmail.com
72,Michele Butler,sony.shrestha@estudiantat.upc.edu
73,Paula Garcia,sony.shrestha@estudiantat.upc.edu
74,Anthony Jenkins,sony.shrestha@estudiantat.upc.edu
75,James Collins,sony.shrestha@estudiantat.upc.edu
