customer_id,customer_name,email_id
1,Debra Kelly,sony.sth8@gmail.com
2,Nicholas Cardenas,sony.sth8@gmail.com
3,Barbara Holder,sony.sth8@gmail.com
4,Jermaine Johnson,sony.shrestha@estudiantat.upc.edu
5,Joyce Austin MD,sony.sth8@gmail.com
6,Xavier Johnson,sony.sth8@gmail.com
7,Timothy Gray,sony.sth8@gmail.com
8,Heidi Bean,sony.shrestha@estudiantat.upc.edu
9,Ronald Taylor,sony.sth8@gmail.com
10,Kayla Cruz,sony.shrestha@estudiantat.upc.edu
11,John Morris,sony.shrestha@estudiantat.upc.edu
12,Eric Liu,sony.shrestha@estudiantat.upc.edu
13,William Santiago,sony.shrestha@estudiantat.upc.edu
14,Eric Jones,sony.shrestha@estudiantat.upc.edu
15,Kevin Monroe,sony.sth8@gmail.com
16,Douglas Cabrera,sony.sth8@gmail.com
17,Sarah Lewis,sony.shrestha@estudiantat.upc.edu
18,Erika Collins,sony.sth8@gmail.com
19,William Cardenas,sony.shrestha@estudiantat.upc.edu
20,Tina Brewer,sony.sth8@gmail.com
21,Jeremy White,sony.shrestha@estudiantat.upc.edu
22,Heather Flynn,sony.sth8@gmail.com
23,Stephanie Allen,sony.sth8@gmail.com
24,Katie Smith,sony.sth8@gmail.com
25,Megan Craig,sony.sth8@gmail.com
26,Christopher Shields,sony.sth8@gmail.com
27,Mary Hubbard,sony.shrestha@estudiantat.upc.edu
28,Hailey Petersen,sony.shrestha@estudiantat.upc.edu
29,Richard Donovan,sony.shrestha@estudiantat.upc.edu
30,Manuel Armstrong,sony.shrestha@estudiantat.upc.edu
31,Ryan Howell,sony.shrestha@estudiantat.upc.edu
32,Audrey Evans,sony.shrestha@estudiantat.upc.edu
33,Brian Cervantes,sony.shrestha@estudiantat.upc.edu
34,Jamie Smith,sony.shrestha@estudiantat.upc.edu
35,Curtis Mendez,sony.sth8@gmail.com
36,Matthew Bond,sony.sth8@gmail.com
37,Patricia Gould,sony.sth8@gmail.com
38,Christopher Hill,sony.shrestha@estudiantat.upc.edu
39,Jeremy Mejia,sony.sth8@gmail.com
40,Christopher Wagner,sony.shrestha@estudiantat.upc.edu
41,Ebony Rubio,sony.shrestha@estudiantat.upc.edu
42,Michelle Long,sony.sth8@gmail.com
43,Julia Lewis,sony.shrestha@estudiantat.upc.edu
44,Brenda Brewer,sony.shrestha@estudiantat.upc.edu
45,Jonathan Wright,sony.shrestha@estudiantat.upc.edu
46,Philip Huerta,sony.sth8@gmail.com
47,Angela Williamson,sony.shrestha@estudiantat.upc.edu
48,Katherine Garza,sony.shrestha@estudiantat.upc.edu
49,Stacie Brock,sony.shrestha@estudiantat.upc.edu
50,Roger Rivera,sony.sth8@gmail.com
51,Carrie Mosley,sony.sth8@gmail.com
52,Cody Smith,sony.sth8@gmail.com
53,Nicole Simpson,sony.shrestha@estudiantat.upc.edu
54,Cathy Miranda,sony.shrestha@estudiantat.upc.edu
55,Raymond Vargas,sony.sth8@gmail.com
56,Nicholas Burns PhD,sony.sth8@gmail.com
57,Deborah Church,sony.shrestha@estudiantat.upc.edu
58,Daniel Sutton,sony.shrestha@estudiantat.upc.edu
59,Meghan Bridges,sony.shrestha@estudiantat.upc.edu
60,Taylor Herrera,sony.shrestha@estudiantat.upc.edu
61,Robert Villa,sony.shrestha@estudiantat.upc.edu
62,Maria Wilson,sony.shrestha@estudiantat.upc.edu
63,Christian Turner,sony.shrestha@estudiantat.upc.edu
64,Miss Martha Smith,sony.sth8@gmail.com
65,Robert Rodriguez,sony.sth8@gmail.com
66,Scott Taylor,sony.sth8@gmail.com
67,Leon Santos,sony.sth8@gmail.com
68,Luke Baldwin,sony.shrestha@estudiantat.upc.edu
69,Carla Taylor MD,sony.shrestha@estudiantat.upc.edu
70,Scott Estrada,sony.sth8@gmail.com
71,Teresa Bailey,sony.shrestha@estudiantat.upc.edu
72,Michele Butler,sony.sth8@gmail.com
73,Paula Garcia,sony.shrestha@estudiantat.upc.edu
74,Anthony Jenkins,sony.sth8@gmail.com
75,James Collins,sony.shrestha@estudiantat.upc.edu
76,John Johnson,sony.shrestha@estudiantat.upc.edu
77,Leah Diaz,sony.shrestha@estudiantat.upc.edu
78,Ashley Bryant,sony.shrestha@estudiantat.upc.edu
79,Annette Aguirre,sony.sth8@gmail.com
80,Linda Santos,sony.shrestha@estudiantat.upc.edu
